80 1 80 379 80 
80 2 159 78 80 
80 3 237 98 80 
80 4 314 163 80 
80 5 390 315 80 
80 6 465 199 80 
80 7 539 369 80 
80 8 612 182 80 
80 9 684 492 80 
80 10 755 353 80 
80 11 825 375 80 
80 12 894 425 80 
80 13 962 568 80 
80 14 1029 530 80 
80 15 1095 709 80 
80 16 1160 618 80 
80 17 1224 823 80 
80 18 1287 659 80 
80 19 1349 781 80 
80 20 1410 646 80 
80 21 1470 819 80 
80 22 1529 1051 80 
80 23 1587 993 80 
80 24 1644 1116 80 
80 25 1700 961 80 
80 26 1755 1214 80 
80 27 1809 1133 80 
80 28 1862 1205 80 
80 29 1914 1169 80 
80 30 1965 1187 80 
80 31 2015 1172 80 
80 32 2064 1348 80 
80 33 2112 1310 80 
80 34 2159 1335 80 
80 35 2205 1441 80 
80 36 2250 1348 80 
80 37 2294 1335 80 
80 38 2337 1604 80 
80 39 2379 1667 80 
80 40 2420 1654 80 
80 41 2460 1688 80 
80 42 2499 1820 80 
80 43 2537 1776 80 
80 44 2574 2010 80 
80 45 2610 1763 80 
80 46 2645 1787 80 
80 47 2679 1994 80 
80 48 2712 1943 80 
80 49 2744 2017 80 
80 50 2775 2013 80 
80 51 2805 2190 80 
80 52 2834 1934 80 
80 53 2862 2250 80 
80 54 2889 2299 80 
80 55 2915 2319 80 
80 56 2940 2347 80 
80 57 2964 2182 80 
80 58 2987 2385 80 
80 59 3009 2477 80 
80 60 3030 2574 80 
80 61 3050 2383 80 
80 62 3069 2434 80 
80 63 3087 2499 80 
80 64 3104 2717 80 
80 65 3120 2705 80 
80 66 3135 2694 80 
80 67 3149 2658 80 
80 68 3162 2545 80 
80 69 3174 2818 80 
80 70 3185 2788 80 
80 71 3195 2848 80 
80 72 3204 2900 80 
80 73 3212 2931 80 
80 74 3219 3053 80 
80 75 3225 3127 80 
80 76 3230 3126 80 
80 77 3234 3134 80 
80 78 3237 3182 80 
80 79 3239 3191 80 
80 80 3240 3240 80 
